Title,y,"Genre (0: boys, 1: girls)",N,M,<s>,s_{CV},s_{P},<k>,k_{CV},k_{P}/(N-1),\alpha,r,C,\tau_{CV}^{node},\tau_{CV}^{edge},N_{I}/N,O,Character_bipartite_cv,Character_bipartite_cv(ratio_to_Poisson),Page_bipartite_cv,Page_bipartite_cv(ratio_to_Poisson)
Flame of Recca,1995,0,22,108,162.5454545,1.35088951,842,9.818181818,0.557558119,1,2.363280005,-0.439355301,0.845735969,2.0550749,2.302462491,0.644628099,0.075585879,1.449039388,11.74770404,0.397084813,0.687771071
Food Wars!: Shokugeki no Soma,2012,0,37,134,64.37837838,1.69122616,586,7.243243243,0.857933116,0.888888889,1.661140479,-0.336974857,0.720307988,2.391177476,2.423863531,0.466033601,0.026825618,1.910237845,10.56327803,0.51233377,0.796312455
Fullmetal Alchemist,2001,0,38,167,87.10526316,1.610785473,736,8.789473684,0.70480848,0.864864865,1.666468747,-0.243738661,0.735331228,1.994570689,2.224495954,0.560249307,0.040442408,1.782964595,10.84535023,0.44450697,0.743908253
Fushigi Yugi,1992,1,22,78,107.2727273,1.597845118,693,7.090909091,0.633416376,1,1.964900054,-0.340113531,0.841673226,1.653667219,2.042099772,0.710743802,0.053884383,1.868350959,14.18426203,0.416367937,0.650182436
GetBackers,1999,0,32,131,122.875,1.723801303,888,8.1875,0.819571506,0.903225806,1.708263095,-0.415965002,0.822259869,1.716669103,2.153467398,0.609375,0.053762417,1.936272371,13.49326242,0.480904697,0.81430084
Gin Tama,2004,0,37,158,105.0810811,1.69008554,793,8.540540541,0.89776423,0.916666667,1.723677092,-0.437603941,0.797984528,2.376085877,2.179173898,0.644996348,0.045294049,1.77333519,11.11660498,0.441800821,0.774601174
Glass Mask,1976,1,49,207,77.26530612,2.01628246,863,8.448979592,0.939908427,0.9375,1.778381483,-0.320511222,0.733122809,1.58361547,1.623974199,0.47938359,0.022241192,2.336775439,12.9031052,0.513035508,0.858128042
Great Teacher Onizuka,1996,0,48,122,29.625,2.230293431,453,5.083333333,1.190416809,0.893617021,1.442650786,-0.298896051,0.708470293,1.099595424,1.168347292,0.319878472,0.021628232,2.935586321,13.40575492,0.475402733,0.66799734
H2,1992,0,21,61,77.61904762,1.469827776,442,5.80952381,0.765417543,0.9,1.788837233,-0.444817964,0.678041147,1.487971691,1.525247787,0.614512472,0.032593514,1.470853987,10.30597886,0.533138072,0.755806021
Haikyu!!,2012,0,37,308,264.1081081,1.460555477,1484,16.64864865,0.533816987,0.972222222,1.802806534,-0.292075594,0.802873867,2.390060718,2.558497531,0.718772827,0.053645418,1.640002004,12.72626933,0.462105379,0.973524215
Hajime no Ippo,1989,0,27,115,145.037037,1.493644378,935,8.518518519,0.711822921,0.961538462,2.348964352,-0.432474967,0.831211658,1.493861736,1.72247246,0.566529492,0.050710519,1.761185189,13.14895964,0.467135626,0.803252986
Hayate the Combat Butler,2004,0,20,83,158.7,1.422574089,771,8.3,0.590361446,1,2.057393976,-0.421774963,0.804337687,2.031193244,1.847542524,0.7025,0.0750229,1.611891024,13.60592621,0.447609842,0.733954478
High School! Kimengumi,1980,0,64,896,317.34375,1.16336261,1484,28,0.57687831,0.841269841,1.77564361,-0.067247649,0.853803765,1.779607895,1.518348991,0.701416016,0.032876017,1.452580943,9.422551765,0.748696921,1.751627168
Hikaru no Go,1999,0,37,129,75.51351351,1.680665491,635,6.972972973,0.847765775,0.805555556,1.766836396,-0.33954904,0.709686528,1.771810325,1.624719602,0.50109569,0.035799034,1.833506961,11.12015302,0.39680722,0.644441912
Hoshin Engi,1996,0,44,182,86.45454545,1.794565941,845,8.272727273,0.81958428,0.76744186,1.687717385,-0.265199542,0.710264321,1.548777603,1.793466268,0.592458678,0.03813203,1.980592764,11.74774005,0.375882406,0.654224834
Hunter Hunter,1998,0,47,413,125.2765957,1.619140712,866,17.57446809,0.616397555,0.956521739,1.057740935,-0.2708545,0.845912261,1.751424581,2.185818594,0.670891806,0.030288803,1.836119549,10.84280138,0.648537213,1.166058658
Itazura na Kiss,1990,1,21,86,188.0952381,1.352361652,995,8.19047619,0.602410877,1,3.013697093,-0.42070857,0.830407203,1.647666841,1.749634394,0.612244898,0.077123076,1.563027448,13.41968852,0.409673808,0.714438394
Jigoku Sensei Nube,1993,0,36,166,144.0555556,1.89205757,1044,9.222222222,0.902569677,0.942857143,2.058310718,-0.558924585,0.841551092,1.387268965,1.550887925,0.617283951,0.049616802,2.016146361,13.59763102,0.450374849,0.829612618
JoJoÅfs Bizarre Adventure,1986,0,17,66,108.1176471,1.284036166,515,7.764705882,0.51235874,0.875,2.431675626,-0.455861029,0.829485547,1.902066535,2.113347472,0.6816609,0.056782452,1.507515547,11.88613313,0.574050783,0.809303017
Jujutsu Kaisen,2018,0,45,200,57.37777778,1.554373868,471,8.888888889,0.711600309,0.818181818,1.592976358,-0.251453182,0.723746208,2.094832554,2.347894135,0.534814815,0.028075479,1.80687114,9.538271772,0.463489607,0.735485469
Karakuri Circus,1997,0,22,106,159.1818182,1.477706459,752,9.636363636,0.534248873,0.952380952,2.142215682,-0.389522137,0.840148754,1.662143326,1.893020566,0.75,0.067828366,1.65607884,13.61065647,0.480705017,0.793761095
